Fiscal Year,Slicer,COVID FILTER,Data Slicer,Location,Offenses,Select Sheet,Stage Filter,AGE ,AGE1,All,Basic Race Sex Ethnicity,Category1,Circuit1,County   ,COVIDMONTHS,Date,Ethnic Group,Gender1,Offense1,Region,Stage,Stages1,Arrests,Arrests per 1000,Arrests/Youth,Arrests/Youth ,Youth,Youth per 1000,Youth Population,Youthpop
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 15 - 16,15,All,Black Female,Other,3,Suwannee,1,7/2/2019,Black,Female,Contempt of Court,North,Arrests,Intake,1,4,0,0,0,0,270,270
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 15 - 16,15,All,Black Female,Misdemeanor,3,Suwannee,1,9/22/2019,Black,Female,Assault/Battery,North,Arrests,Intake,1,4,0,0,0,0,270,270
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 15 - 16,16,All,Black Female,Other,3,Suwannee,1,3/26/2020,Black,Female,Prosecution Previously Deferred,North,Arrests,Intake,1,4,0,0,0,0,270,270
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 15 - 16,15,All,Black Female,Other,3,Suwannee,1,11/15/2019,Black,Female,Violation of Probation New-Law,North,Arrests,Intake,1,4,0,0,0,0,270,270
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 15 - 16,15,All,Black Female,Felony,3,Suwannee,1,9/26/2019,Black,Female,Agg Assault/Battery,North,Arrests,Intake,1,4,1,1,1,4,270,270
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 15 - 16,15,All,Black Female,Misdemeanor,3,Suwannee,1,11/13/2019,Black,Female,Vandalism,North,Arrests,Intake,1,4,0,0,0,0,270,270
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 13 - 14,13,All,Black Female,Felony,18,Brevard,1,9/16/2019,Black,Female,Agg Assault/Battery,Central,Arrests,Intake,1,0,0,0,0,0,4028,4028
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 15 - 16,15,All,Black Female,Felony,18,Brevard,1,12/16/2019,Black,Female,Agg Assault/Battery,Central,Arrests,Intake,1,0,1,1,1,0,4028,4028
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 17+,17,All,Black Female,Felony,18,Brevard,1,2/8/2020,Black,Female,Burglary,Central,Arrests,Intake,1,0,1,1,1,0,4028,4028
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 13 - 14,13,All,Black Female,Felony,18,Brevard,1,8/24/2019,Black,Female,Agg Assault/Battery,Central,Arrests,Intake,1,0,0,0,0,0,4028,4028
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 13 - 14,13,All,Black Female,Felony,18,Brevard,1,1/16/2020,Black,Female,Burglary,Central,Arrests,Intake,1,0,1,1,1,0,4028,4028
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 13 - 14,13,All,Black Female,Felony,18,Brevard,1,8/20/2019,Black,Female,Agg Assault/Battery,Central,Arrests,Intake,1,0,1,1,1,0,4028,4028
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 15 - 16,15,All,Black Female,Felony,18,Brevard,1,11/3/2019,Black,Female,Agg Assault/Battery,Central,Arrests,Intake,1,0,1,1,1,0,4028,4028
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 15 - 16,16,All,Black Female,Felony,18,Brevard,1,1/16/2020,Black,Female,Burglary,Central,Arrests,Intake,1,0,1,1,1,0,4028,4028
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 13 - 14,14,All,Black Female,Misdemeanor,18,Brevard,2,6/10/2020,Black,Female,Assault/Battery,Central,Arrests,Intake,1,0,1,1,1,0,4028,4028
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 13 - 14,14,All,Black Female,Misdemeanor,18,Brevard,2,6/23/2020,Black,Female,Assault/Battery,Central,Arrests,Intake,1,0,1,1,1,0,4028,4028
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 13 - 14,13,All,Black Female,Misdemeanor,18,Brevard,2,5/1/2020,Black,Female,Petit Larceny,Central,Arrests,Intake,1,0,1,1,1,0,4028,4028
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 13 - 14,13,All,Black Female,Misdemeanor,18,Brevard,1,2/25/2020,Black,Female,Assault/Battery,Central,Arrests,Intake,1,0,1,1,1,0,4028,4028
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 13 - 14,13,All,Black Female,Misdemeanor,18,Brevard,1,2/26/2020,Black,Female,Assault/Battery,Central,Arrests,Intake,1,0,1,1,1,0,4028,4028
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 5 - 12,12,All,Black Female,Misdemeanor,18,Brevard,1,8/2/2019,Black,Female,Assault/Battery,Central,Arrests,Intake,1,0,1,1,1,0,4028,4028
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 5 - 12,12,All,Black Female,Misdemeanor,18,Brevard,1,12/18/2019,Black,Female,Assault/Battery,Central,Arrests,Intake,1,0,1,1,1,0,4028,4028
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 15 - 16,15,All,Black Female,Misdemeanor,18,Brevard,2,6/23/2020,Black,Female,Assault/Battery,Central,Arrests,Intake,1,0,1,1,1,0,4028,4028
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 15 - 16,16,All,Black Female,Misdemeanor,18,Brevard,1,1/27/2020,Black,Female,Assault/Battery,Central,Arrests,Intake,1,0,1,1,1,0,4028,4028
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 17+,17,All,Black Female,Misdemeanor,18,Brevard,1,7/2/2019,Black,Female,Petit Larceny,Central,Arrests,Intake,1,0,1,1,1,0,4028,4028
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 17+,17,All,Black Female,Misdemeanor,18,Brevard,2,6/17/2020,Black,Female,Petit Larceny,Central,Arrests,Intake,1,0,1,1,1,0,4028,4028
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 17+,17,All,Black Female,Misdemeanor,18,Brevard,1,1/30/2020,Black,Female,Assault/Battery,Central,Arrests,Intake,1,0,1,1,1,0,4028,4028
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 15 - 16,16,All,Black Female,Misdemeanor,18,Brevard,1,7/2/2019,Black,Female,Petit Larceny,Central,Arrests,Intake,1,0,1,1,1,0,4028,4028
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 17+,17,All,Black Female,Misdemeanor,18,Brevard,2,6/22/2020,Black,Female,Vandalism,Central,Arrests,Intake,1,0,1,1,1,0,4028,4028
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 17+,17,All,Black Female,Other,18,Brevard,1,2/21/2020,Black,Female,Prosecution Previously Deferred,Central,Arrests,Intake,1,0,0,0,0,0,4028,4028
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 13 - 14,14,All,Black Female,Other,18,Brevard,1,11/20/2019,Black,Female,Prosecution Previously Deferred,Central,Arrests,Intake,1,0,0,0,0,0,4028,4028
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 15 - 16,16,All,Black Female,Other,18,Brevard,2,4/1/2020,Black,Female,Violation of Probation LEO,Central,Arrests,Intake,1,0,0,0,0,0,4028,4028
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 15 - 16,15,All,Black Female,Other,18,Brevard,1,9/19/2019,Black,Female,Violation of Probation LEO,Central,Arrests,Intake,1,0,0,0,0,0,4028,4028
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 15 - 16,15,All,Black Female,Other,18,Brevard,1,10/4/2019,Black,Female,Prosecution Previously Deferred,Central,Arrests,Intake,1,0,1,1,1,0,4028,4028
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 17+,18,All,Black Female,Other,18,Brevard,1,11/5/2019,Black,Female,Prosecution Previously Deferred,Central,Arrests,Intake,1,0,1,1,1,0,4028,4028
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 17+,17,All,Black Female,Other,18,Brevard,1,7/30/2019,Black,Female,Violation of Probation LEO,Central,Arrests,Intake,1,0,1,1,1,0,4028,4028
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 15 - 16,15,All,Black Female,Other,18,Brevard,1,7/27/2019,Black,Female,Violation of Probation LEO,Central,Arrests,Intake,1,0,1,1,1,0,4028,4028
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 15 - 16,15,All,Black Female,Other,18,Brevard,2,5/3/2020,Black,Female,Violation of Probation LEO,Central,Arrests,Intake,1,0,1,1,1,0,4028,4028
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 15 - 16,15,All,Black Female,Felony,18,Brevard,1,12/10/2019,Black,Female,Agg Assault/Battery,Central,Arrests,Intake,1,0,1,1,1,0,4028,4028
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 17+,17,All,Black Female,Felony,18,Brevard,1,12/10/2019,Black,Female,Agg Assault/Battery,Central,Arrests,Intake,1,0,1,1,1,0,4028,4028
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 15 - 16,16,All,Black Female,Felony,18,Brevard,1,9/11/2019,Black,Female,Auto Theft,Central,Arrests,Intake,1,0,1,1,1,0,4028,4028
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 15 - 16,16,All,Black Female,Felony,18,Brevard,1,12/10/2019,Black,Female,Agg Assault/Battery,Central,Arrests,Intake,1,0,1,1,1,0,4028,4028
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 15 - 16,16,All,Black Female,Felony,18,Brevard,2,4/7/2020,Black,Female,Agg Assault/Battery,Central,Arrests,Intake,1,0,1,1,1,0,4028,4028
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 13 - 14,14,All,Black Female,Felony,18,Brevard,1,8/19/2019,Black,Female,Agg Assault/Battery,Central,Arrests,Intake,1,0,1,1,1,0,4028,4028
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 13 - 14,13,All,Black Female,Felony,18,Brevard,2,5/16/2020,Black,Female,Agg Assault/Battery,Central,Arrests,Intake,1,0,1,1,1,0,4028,4028
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 13 - 14,14,All,Black Female,Felony,18,Brevard,1,12/10/2019,Black,Female,Agg Assault/Battery,Central,Arrests,Intake,1,0,1,1,1,0,4028,4028
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 15 - 16,16,All,Black Female,Misdemeanor,18,Brevard,1,10/3/2019,Black,Female,Assault/Battery,Central,Arrests,Intake,1,0,0,0,0,0,4028,4028
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 15 - 16,16,All,Black Female,Misdemeanor,18,Brevard,1,1/3/2020,Black,Female,Assault/Battery,Central,Arrests,Intake,1,0,0,0,0,0,4028,4028
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 15 - 16,16,All,Black Female,Misdemeanor,18,Brevard,1,11/18/2019,Black,Female,Trespassing,Central,Arrests,Intake,1,0,0,0,0,0,4028,4028
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 13 - 14,14,All,Black Female,Misdemeanor,18,Brevard,1,7/2/2019,Black,Female,Disorderly Conduct,Central,Arrests,Intake,1,0,1,1,1,0,4028,4028
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 15 - 16,15,All,Black Female,Misdemeanor,18,Brevard,1,8/30/2019,Black,Female,Assault/Battery,Central,Arrests,Intake,1,0,1,1,1,0,4028,4028
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 15 - 16,16,All,Black Female,Misdemeanor,18,Brevard,1,12/3/2019,Black,Female,Disorderly Conduct,Central,Arrests,Intake,1,0,1,1,1,0,4028,4028
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 17+,17,All,Black Female,Felony,18,Brevard,1,12/10/2019,Black,Female,Agg Assault/Battery,Central,Arrests,Intake,3,1,3,3,3,1,4028,12084
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 13 - 14,13,All,Black Female,Misdemeanor,18,Brevard,1,7/8/2019,Black,Female,Assault/Battery,Central,Arrests,Intake,1,0,1,1,1,0,4028,4028
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 5 - 12,12,All,Black Female,Misdemeanor,18,Brevard,1,2/26/2020,Black,Female,Assault/Battery,Central,Arrests,Intake,1,0,1,1,1,0,4028,4028
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 5 - 12,12,All,Black Female,Misdemeanor,18,Brevard,1,3/6/2020,Black,Female,Assault/Battery,Central,Arrests,Intake,1,0,1,1,1,0,4028,4028
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 13 - 14,13,All,Black Female,Misdemeanor,18,Brevard,1,2/7/2020,Black,Female,Assault/Battery,Central,Arrests,Intake,1,0,1,1,1,0,4028,4028
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 13 - 14,13,All,Black Female,Misdemeanor,18,Brevard,1,2/12/2020,Black,Female,Assault/Battery,Central,Arrests,Intake,1,0,1,1,1,0,4028,4028
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 15 - 16,16,All,Black Female,Misdemeanor,18,Brevard,2,5/26/2020,Black,Female,Assault/Battery,Central,Arrests,Intake,1,0,1,1,1,0,4028,4028
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 15 - 16,15,All,Black Female,Misdemeanor,18,Brevard,1,8/2/2019,Black,Female,Misd Obstruct Justice,Central,Arrests,Intake,1,0,1,1,1,0,4028,4028
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 17+,17,All,Black Female,Misdemeanor,18,Brevard,1,7/2/2019,Black,Female,Petit Larceny,Central,Arrests,Intake,1,0,1,1,1,0,4028,4028
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 17+,17,All,Black Female,Misdemeanor,18,Brevard,1,11/5/2019,Black,Female,Misd Obstruct Justice,Central,Arrests,Intake,1,0,1,1,1,0,4028,4028
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 17+,17,All,Black Female,Misdemeanor,18,Brevard,1,1/25/2020,Black,Female,Assault/Battery,Central,Arrests,Intake,1,0,1,1,1,0,4028,4028
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 17+,17,All,Black Female,Misdemeanor,18,Brevard,1,7/2/2019,Black,Female,Assault/Battery,Central,Arrests,Intake,1,0,1,1,1,0,4028,4028
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 17+,17,All,Black Female,Misdemeanor,18,Brevard,1,8/9/2019,Black,Female,Trespassing,Central,Arrests,Intake,1,0,1,1,1,0,4028,4028
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 13 - 14,13,All,Black Female,Misdemeanor,18,Brevard,1,7/9/2019,Black,Female,Petit Larceny,Central,Arrests,Intake,1,0,1,1,1,0,4028,4028
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 13 - 14,14,All,Black Female,Misdemeanor,18,Brevard,1,11/25/2019,Black,Female,Assault/Battery,Central,Arrests,Intake,1,0,1,1,1,0,4028,4028
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 13 - 14,14,All,Black Female,Misdemeanor,18,Brevard,2,4/22/2020,Black,Female,Assault/Battery,Central,Arrests,Intake,1,0,1,1,1,0,4028,4028
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 13 - 14,14,All,Black Female,Misdemeanor,18,Brevard,1,12/18/2019,Black,Female,Assault/Battery,Central,Arrests,Intake,1,0,1,1,1,0,4028,4028
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 15 - 16,16,All,Black Female,Misdemeanor,18,Brevard,1,10/10/2019,Black,Female,Assault/Battery,Central,Arrests,Intake,1,0,1,1,1,0,4028,4028
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 15 - 16,16,All,Black Female,Misdemeanor,18,Brevard,1,1/28/2020,Black,Female,Petit Larceny,Central,Arrests,Intake,1,0,1,1,1,0,4028,4028
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 17+,17,All,Black Female,Misdemeanor,18,Brevard,1,10/28/2019,Black,Female,Assault/Battery,Central,Arrests,Intake,1,0,1,1,1,0,4028,4028
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 17+,17,All,Black Female,Misdemeanor,18,Brevard,1,7/12/2019,Black,Female,Assault/Battery,Central,Arrests,Intake,1,0,1,1,1,0,4028,4028
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 17+,17,All,Black Female,Misdemeanor,18,Brevard,2,5/26/2020,Black,Female,Assault/Battery,Central,Arrests,Intake,1,0,1,1,1,0,4028,4028
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 17+,17,All,Black Female,Misdemeanor,18,Brevard,1,3/23/2020,Black,Female,Assault/Battery,Central,Arrests,Intake,1,0,1,1,1,0,4028,4028
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 17+,17,All,Black Female,Other,18,Brevard,1,12/3/2019,Black,Female,Prosecution Previously Deferred,Central,Arrests,Intake,1,0,0,0,0,0,4028,4028
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 15 - 16,16,All,Black Female,Other,18,Brevard,1,12/19/2019,Black,Female,Violation of Probation Non-Law,Central,Arrests,Intake,1,0,0,0,0,0,4028,4028
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 17+,18,All,Black Female,Other,18,Brevard,1,12/17/2019,Black,Female,Violation of Probation Non-Law,Central,Arrests,Intake,1,0,0,0,0,0,4028,4028
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 15 - 16,16,All,Black Female,Felony,18,Brevard,1,7/14/2019,Black,Female,Grand Larceny(excl auto),Central,Arrests,Intake,1,0,0,0,0,0,4028,4028
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 13 - 14,14,All,Black Female,Other,18,Brevard,1,11/15/2019,Black,Female,Prosecution Previously Deferred,Central,Arrests,Intake,1,0,0,0,0,0,4028,4028
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 13 - 14,14,All,Black Female,Other,18,Brevard,1,11/13/2019,Black,Female,Prosecution Previously Deferred,Central,Arrests,Intake,1,0,1,1,1,0,4028,4028
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 15 - 16,16,All,Black Female,Felony,18,Brevard,1,10/23/2019,Black,Female,Weapon/Firearm,Central,Arrests,Intake,1,0,1,1,1,0,4028,4028
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 13 - 14,13,All,Black Female,Felony,18,Brevard,1,7/1/2019,Black,Female,Grand Larceny(excl auto),Central,Arrests,Intake,1,0,1,1,1,0,4028,4028
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 17+,17,All,Black Female,Felony,18,Brevard,2,5/13/2020,Black,Female,Agg Assault/Battery,Central,Arrests,Intake,1,0,0,0,0,0,4028,4028
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 15 - 16,16,All,Black Female,Other,18,Brevard,1,2/26/2020,Black,Female,Prosecution Previously Deferred,Central,Arrests,Intake,1,0,0,0,0,0,4028,4028
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 15 - 16,16,All,Black Female,Other,18,Brevard,1,1/31/2020,Black,Female,Prosecution Previously Deferred,Central,Arrests,Intake,1,0,0,0,0,0,4028,4028
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 5 - 12,12,All,Black Female,Felony,18,Brevard,1,10/24/2019,Black,Female,Burglary,Central,Arrests,Intake,1,0,1,1,1,0,4028,4028
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 17+,17,All,Black Female,Felony,18,Brevard,1,8/24/2019,Black,Female,Obstruct Justice,Central,Arrests,Intake,1,0,1,1,1,0,4028,4028
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 17+,17,All,Black Female,Felony,18,Brevard,1,10/24/2019,Black,Female,Burglary,Central,Arrests,Intake,1,0,1,1,1,0,4028,4028
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 13 - 14,13,All,Black Female,Misdemeanor,18,Brevard,2,4/2/2020,Black,Female,Disorderly Conduct,Central,Arrests,Intake,1,0,0,0,0,0,4028,4028
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 17+,17,All,Black Female,Other,18,Brevard,1,12/18/2019,Black,Female,Violation of Probation Non-Law,Central,Arrests,Intake,1,0,0,0,0,0,4028,4028
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 17+,17,All,Black Female,Other,18,Brevard,1,11/4/2019,Black,Female,Violation of Probation Non-Law,Central,Arrests,Intake,1,0,0,0,0,0,4028,4028
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 15 - 16,16,All,Black Female,Other,18,Brevard,1,10/22/2019,Black,Female,Violation of Probation LEO,Central,Arrests,Intake,1,0,0,0,0,0,4028,4028
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 15 - 16,16,All,Black Female,Other,18,Brevard,1,9/12/2019,Black,Female,Violation of Probation LEO,Central,Arrests,Intake,1,0,0,0,0,0,4028,4028
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 17+,17,All,Black Female,Misdemeanor,18,Brevard,1,12/17/2019,Black,Female,Petit Larceny,Central,Arrests,Intake,1,0,1,1,1,0,4028,4028
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 17+,17,All,Black Female,Misdemeanor,18,Brevard,1,7/1/2019,Black,Female,Assault/Battery,Central,Arrests,Intake,1,0,1,1,1,0,4028,4028
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 17+,17,All,Black Female,Misdemeanor,18,Brevard,2,5/23/2020,Black,Female,Assault/Battery,Central,Arrests,Intake,1,0,1,1,1,0,4028,4028
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 13 - 14,14,All,Black Female,Misdemeanor,18,Brevard,1,1/27/2020,Black,Female,Assault/Battery,Central,Arrests,Intake,1,0,1,1,1,0,4028,4028
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 13 - 14,14,All,Black Female,Misdemeanor,18,Brevard,1,2/25/2020,Black,Female,Assault/Battery,Central,Arrests,Intake,1,0,1,1,1,0,4028,4028
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 17+,17,All,Black Female,Felony,18,Brevard,1,9/3/2019,Black,Female,Agg Assault/Battery,Central,Arrests,Intake,1,0,1,1,1,0,4028,4028
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 15 - 16,16,All,Black Female,Misdemeanor,18,Brevard,1,7/26/2019,Black,Female,Petit Larceny,Central,Arrests,Intake,1,0,0,0,0,0,4028,4028
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 13 - 14,14,All,Black Female,Misdemeanor,18,Brevard,2,4/23/2020,Black,Female,Assault/Battery,Central,Arrests,Intake,1,0,0,0,0,0,4028,4028
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 13 - 14,14,All,Black Female,Misdemeanor,18,Brevard,1,12/2/2019,Black,Female,Assault/Battery,Central,Arrests,Intake,1,0,0,0,0,0,4028,4028
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 5 - 12,12,All,Black Female,Misdemeanor,18,Brevard,1,7/3/2019,Black,Female,Petit Larceny,Central,Arrests,Intake,1,0,0,0,0,0,4028,4028
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 17+,17,All,Black Female,Other,18,Brevard,1,2/24/2020,Black,Female,Violation of Probation Non-Law,Central,Arrests,Intake,1,0,0,0,0,0,4028,4028
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 17+,17,All,Black Female,Other,18,Brevard,1,10/24/2019,Black,Female,Prosecution Previously Deferred,Central,Arrests,Intake,1,0,1,1,1,0,4028,4028
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 15 - 16,15,All,Black Female,Other,18,Brevard,1,2/12/2020,Black,Female,Violation of Probation Non-Law,Central,Arrests,Intake,1,0,1,1,1,0,4028,4028
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 15 - 16,15,All,Black Female,Other,18,Brevard,1,7/9/2019,Black,Female,Prosecution Previously Deferred,Central,Arrests,Intake,1,0,1,1,1,0,4028,4028
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 15 - 16,15,All,Black Female,Other,18,Brevard,1,1/2/2020,Black,Female,Prosecution Previously Deferred,Central,Arrests,Intake,1,0,0,0,0,0,4028,4028
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 13 - 14,13,All,Black Female,Other,18,Brevard,1,1/31/2020,Black,Female,Prosecution Previously Deferred,Central,Arrests,Intake,1,0,0,0,0,0,4028,4028
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 17+,18,All,Black Female,Other,18,Brevard,1,11/14/2019,Black,Female,Prosecution Previously Deferred,Central,Arrests,Intake,1,0,0,0,0,0,4028,4028
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 17+,17,All,Black Female,Other,18,Brevard,1,10/17/2019,Black,Female,Violation of Probation Non-Law,Central,Arrests,Intake,1,0,0,0,0,0,4028,4028
